Date,Open,High,Low,Close,Volume,Adj Close
2017-04-28,16.50,16.790001,16.43,16.48,25662200,16.48
2017-04-27,15.80,16.629999,15.80,16.610001,40805700,16.610001
2017-04-26,15.90,16.48,15.76,15.82,79001100,15.82
2017-04-25,14.71,14.96,14.63,14.66,20333700,14.66
2017-04-24,14.70,14.82,14.56,14.71,12709300,14.71
2017-04-21,14.65,14.75,14.41,14.63,13778600,14.63
2017-04-20,14.58,14.75,14.51,14.65,9462300,14.65
2017-04-19,14.44,14.79,14.44,14.54,14189700,14.54
2017-04-18,14.37,14.56,14.27,14.44,9687900,14.44
2017-04-17,14.30,14.55,14.12,14.40,10032000,14.40
2017-04-13,14.49,14.50,14.22,14.30,10522600,14.30
2017-04-12,14.34,14.78,14.26,14.42,12898700,14.42
2017-04-11,14.30,14.40,14.20,14.31,7588600,14.31
2017-04-10,14.30,14.46,14.20,14.36,9927200,14.36
2017-04-07,14.36,14.43,14.25,14.29,8221800,14.29
2017-04-06,14.53,14.62,14.30,14.39,17989900,14.39
2017-04-05,14.61,14.82,14.41,14.53,13674900,14.53
2017-04-04,14.75,14.76,14.58,14.69,8917900,14.69
2017-04-03,14.97,14.98,14.65,14.84,11584400,14.84
2017-03-31,14.93,15.06,14.91,14.95,8361700,14.95
2017-03-30,15.05,15.08,14.90,14.92,8393200,14.92
2017-03-29,14.86,15.06,14.70,15.04,11022200,15.04
2017-03-28,15.00,15.17,14.80,14.94,14795400,14.94
2017-03-27,15.02,15.06,14.75,14.99,10434000,14.99
2017-03-24,15.06,15.37,15.03,15.14,15514800,15.14
2017-03-23,14.99,15.05,14.73,14.93,11254100,14.93
2017-03-22,14.50,14.99,14.32,14.98,21034200,14.98
2017-03-21,15.08,15.10,14.50,14.54,19047000,14.54
2017-03-20,15.11,15.11,14.82,15.09,12454200,15.09
2017-03-17,15.20,15.23,15.03,15.08,10876600,15.08
2017-03-16,15.08,15.28,15.04,15.19,11588600,15.19
2017-03-15,15.25,15.30,14.85,15.03,19317400,15.03
2017-03-14,15.20,15.58,15.15,15.32,14946800,15.32
2017-03-13,15.10,15.27,15.10,15.21,8701500,15.21
2017-03-10,15.23,15.27,14.94,15.12,13512100,15.12
2017-03-09,15.24,15.39,15.03,15.22,10920500,15.22
2017-03-08,15.19,15.36,15.08,15.24,12556400,15.24
2017-03-07,15.52,15.73,15.16,15.18,16578000,15.18
2017-03-06,15.75,15.78,15.50,15.56,11435400,15.56
2017-03-03,15.84,16.10,15.68,15.75,15157500,15.75
2017-03-02,15.77,16.00,15.72,15.79,12323000,15.79
2017-03-01,15.87,15.90,15.59,15.79,18127700,15.79
