date,open,high,low,close,volume
2017-03-01 09:30:00,254.18,254.28,253.55,253.55,118081
2017-03-01 09:31:00,253.55,254.18,253.22,253.94,49455
2017-03-01 09:32:00,253.95,254.85,253.94,254.8,72603
2017-03-01 09:33:00,254.85,254.85,254.0,254.0,46164
2017-03-01 09:34:00,253.97,254.38,253.8,254.225,29639
2017-03-01 09:35:00,254.182,254.228,253.01,253.1,36323
2017-03-01 09:36:00,253.11,253.852,253.11,253.66,28908
2017-03-01 09:37:00,253.75,254.19,253.516,253.541,24948
2017-03-01 09:38:00,253.7,253.77,253.05,253.514,20012
2017-03-01 09:39:00,253.635,253.88,253.32,253.8,19345
2017-03-01 09:40:00,253.87,253.88,253.48,253.75,14260
2017-03-01 09:41:00,253.57,253.85,253.36,253.36,9346
2017-03-01 09:42:00,253.472,253.472,252.55,252.55,34912
2017-03-01 09:43:00,252.65,252.87,252.28,252.4,27107
2017-03-01 09:44:00,252.457,252.62,251.76,251.98,38536
2017-03-01 09:45:00,251.882,252.765,251.882,252.56,44589
2017-03-01 09:46:00,252.485,252.68,252.28,252.45,21526
2017-03-01 09:47:00,252.414,252.498,252.23,252.37,20515
2017-03-01 09:48:00,252.21,252.27,251.81,251.81,28441
2017-03-01 09:49:00,252.0,252.27,251.78,251.952,19639
2017-03-01 09:50:00,251.9,252.41,251.9,252.152,18515
2017-03-01 09:51:00,251.971,252.2,251.96,252.035,12881
2017-03-01 09:52:00,252.04,252.14,251.85,251.86,11361
2017-03-01 09:53:00,251.99,252.2,251.86,251.91,14550
2017-03-01 09:54:00,252.022,252.13,251.65,251.8,11655
2017-03-01 09:55:00,251.8,252.0,251.61,252.0,13930
2017-03-01 09:56:00,251.99,252.61,251.99,252.52,20484
2017-03-01 09:57:00,252.575,252.69,252.51,252.582,13157
2017-03-01 09:58:00,252.602,253.0,252.533,252.88,22227
2017-03-01 09:59:00,252.97,252.97,252.4,252.5,16041
2017-03-01 10:00:00,252.415,252.79,252.415,252.732,9334
2017-03-01 10:01:00,252.749,252.9,252.64,252.86,8128
2017-03-01 10:02:00,252.919,253.33,252.77,253.295,19406
2017-03-01 10:03:00,253.4,253.58,253.13,253.58,27398
2017-03-01 10:04:00,253.62,253.65,253.15,253.25,13340
2017-03-01 10:05:00,253.06,253.31,252.719,252.85,16045
2017-03-01 10:06:00,252.74,252.85,252.61,252.64,11003
2017-03-01 10:07:00,252.715,253.23,252.705,253.171,16591
2017-03-01 10:08:00,253.24,253.33,253.1,253.15,11329
2017-03-01 10:09:00,253.22,253.27,252.8,252.8,10388
2017-03-01 10:10:00,252.929,252.98,252.62,252.75,11696
2017-03-01 10:11:00,252.73,252.829,252.632,252.773,15954
2017-03-01 10:12:00,252.74,252.75,252.63,252.75,2859
2017-03-01 10:13:00,252.75,252.75,252.31,252.373,24559
2017-03-01 10:14:00,252.38,252.62,252.32,252.48,9118
2017-03-01 10:15:00,252.58,252.7,252.566,252.635,8503
2017-03-01 10:16:00,252.646,252.73,252.3,252.3,14550
2017-03-01 10:17:00,252.37,252.4,252.221,252.38,9868
2017-03-01 10:18:00,252.46,252.46,252.131,252.37,9592
2017-03-01 10:19:00,252.25,252.39,252.13,252.2,3750
2017-03-01 10:20:00,252.21,252.31,252.19,252.219,5603
2017-03-01 10:21:00,252.3,252.39,251.98,252.0,14007
2017-03-01 10:22:00,251.977,252.18,251.92,252.08,7625
2017-03-01 10:23:00,252.017,252.14,251.8,251.85,13862
2017-03-01 10:24:00,251.81,251.889,251.72,251.87,9731
2017-03-01 10:25:00,251.8,251.869,251.45,251.52,15009
2017-03-01 10:26:00,251.59,251.89,251.59,251.814,20824
2017-03-01 10:27:00,251.81,251.93,251.745,251.835,5700
2017-03-01 10:28:00,251.86,251.94,251.84,251.918,3335
2017-03-01 10:29:00,251.94,252.05,251.82,252.01,11652
2017-03-01 10:30:00,252.09,252.224,251.9,252.01,12400
2017-03-01 10:31:00,251.83,252.06,251.81,252.02,7600
2017-03-01 10:32:00,252.008,252.19,252.008,252.12,5918
2017-03-01 10:33:00,252.13,252.25,252.11,252.159,6402
2017-03-01 10:34:00,252.13,252.13,251.95,252.05,9438
2017-03-01 10:35:00,252.1,252.2,252.014,252.04,11499
2017-03-01 10:36:00,252.17,252.17,251.8,252.02,11333
2017-03-01 10:37:00,251.8,252.05,251.8,251.97,5967
2017-03-01 10:38:00,251.92,252.08,251.92,251.98,2615
2017-03-01 10:39:00,252.07,252.07,251.89,251.97,7320
2017-03-01 10:40:00,251.9,251.93,251.76,251.88,5164
2017-03-01 10:41:00,251.77,252.08,251.77,251.8,13214
2017-03-01 10:42:00,251.82,251.94,251.65,251.664,10681
2017-03-01 10:43:00,251.71,251.8,251.52,251.59,8367
2017-03-01 10:44:00,251.61,251.69,251.4,251.4,9532
2017-03-01 10:45:00,251.485,251.495,251.21,251.29,18158
2017-03-01 10:46:00,251.37,251.37,250.94,250.95,21614
2017-03-01 10:47:00,251.03,251.32,250.95,251.162,15561
2017-03-01 10:48:00,251.22,251.22,251.051,251.2,9850
2017-03-01 10:49:00,251.18,251.18,250.94,250.94,15033
2017-03-01 10:50:00,250.986,251.08,250.95,251.039,6075
2017-03-01 10:51:00,251.0,251.07,250.96,251.047,6441
2017-03-01 10:52:00,251.042,251.07,250.57,250.57,23975
2017-03-01 10:53:00,250.64,250.69,250.25,250.29,17798
2017-03-01 10:54:00,250.333,250.59,250.283,250.4,10620
2017-03-01 10:55:00,250.47,250.69,250.44,250.624,19875
2017-03-01 10:56:00,250.597,250.597,250.14,250.275,31461
2017-03-01 10:57:00,250.171,250.248,250.03,250.072,22112
2017-03-01 10:58:00,250.1,250.182,249.99,250.01,42241
2017-03-01 10:59:00,250.089,250.54,250.0,250.271,15050
2017-03-01 11:00:00,250.24,250.31,250.17,250.22,8957
2017-03-01 11:01:00,250.22,250.53,250.21,250.22,21054
2017-03-01 11:02:00,250.2,250.49,249.83,249.858,55985
