ID,Symbol,CreateTime,Body,Sentiment
81034518,AAPL,2017-04-25T00:22:21Z,b'$TWTR short squeeze coming - IMO',Bullish
81034274,AAPL,2017-04-25T00:17:50Z,b'$TWTR short squeeze coming - IMO',Bearish
81033302,AAPL,2017-04-25T00:00:38Z,b'$TWTR short squeeze coming - IMO',Bullish
81032973,AAPL,2017-04-24T23:55:43Z,b'$TWTR short squeeze coming - IMO',Bullish
81031902,AAPL,2017-04-24T23:38:05Z,b'$TWTR short squeeze coming - IMO',Bullish
81031608,AAPL,2017-04-24T23:32:34Z,b'$TWTR short squeeze coming - IMO',None
81029318,AAPL,2017-04-24T22:52:41Z,b'$TWTR short squeeze coming - IMO',Bullish
81029264,AAPL,2017-04-24T22:51:58Z,b'$TWTR short squeeze coming - IMO',None
81029260,AAPL,2017-04-24T22:51:54Z,b'$TWTR short squeeze coming - IMO',None
81028579,AAPL,2017-04-24T22:42:09Z,b'$TWTR short squeeze coming - IMO',Bearish
81028102,AAPL,2017-04-24T22:34:59Z,b'$TWTR short squeeze coming - IMO',None
81027342,AAPL,2017-04-24T22:23:59Z,b'$TWTR short squeeze coming - IMO',Bullish
81027252,AAPL,2017-04-24T22:22:50Z,b'$TWTR short squeeze coming - IMO',None
81026646,AAPL,2017-04-24T22:14:33Z,b'$TWTR short squeeze coming - IMO',None
81026522,AAPL,2017-04-24T22:12:59Z,b'$TWTR short squeeze coming - IMO',None
81026052,AAPL,2017-04-24T22:06:49Z,b'$TWTR short squeeze coming - IMO',Bullish
81025899,AAPL,2017-04-24T22:05:03Z,b'$TWTR short squeeze coming - IMO',Bullish
81025802,AAPL,2017-04-24T22:03:52Z,b'$TWTR short squeeze coming - IMO',None
81025469,AAPL,2017-04-24T21:58:57Z,b'$TWTR short squeeze coming - IMO',None
81025158,AAPL,2017-04-24T21:54:41Z,b'$TWTR short squeeze coming - IMO',None
81025155,AAPL,2017-04-24T21:54:41Z,b'$TWTR short squeeze coming - IMO',None
81024925,AAPL,2017-04-24T21:52:11Z,b'$TWTR short squeeze coming - IMO',None
81024853,AAPL,2017-04-24T21:51:08Z,b'$TWTR short squeeze coming - IMO',None
81024727,AAPL,2017-04-24T21:49:28Z,b'$TWTR short squeeze coming - IMO',None
81024625,AAPL,2017-04-24T21:48:01Z,b'$TWTR short squeeze coming - IMO',Bullish
81024614,AAPL,2017-04-24T21:47:50Z,b'$TWTR short squeeze coming - IMO',None
81024606,AAPL,2017-04-24T21:47:43Z,b'$TWTR short squeeze coming - IMO',Bearish
81024470,AAPL,2017-04-24T21:46:00Z,b'$TWTR short squeeze coming - IMO',None
81024411,AAPL,2017-04-24T21:45:19Z,b'$TWTR short squeeze coming - IMO',Bearish
81023979,AAPL,2017-04-24T21:39:15Z,b'$TWTR short squeeze coming - IMO',None
81023831,AAPL,2017-04-24T21:37:42Z,b'$TWTR short squeeze coming - IMO',None
81022891,AAPL,2017-04-24T21:26:45Z,b'$TWTR short squeeze coming - IMO',None
81021621,AAPL,2017-04-24T21:12:43Z,b'$TWTR short squeeze coming - IMO',None
81021620,AAPL,2017-04-24T21:12:41Z,b'$TWTR short squeeze coming - IMO',None
81021553,AAPL,2017-04-24T21:12:09Z,b'$TWTR short squeeze coming - IMO',None
81021435,AAPL,2017-04-24T21:10:56Z,b'$TWTR short squeeze coming - IMO',Bullish
81021351,AAPL,2017-04-24T21:09:56Z,b'$TWTR short squeeze coming - IMO',Bullish
81020986,AAPL,2017-04-24T21:06:07Z,b'$TWTR short squeeze coming - IMO',None
81020919,AAPL,2017-04-24T21:05:25Z,b'$TWTR short squeeze coming - IMO',None
81020489,AAPL,2017-04-24T21:01:49Z,b'$TWTR short squeeze coming - IMO',None
81020465,AAPL,2017-04-24T21:01:36Z,b'$TWTR short squeeze coming - IMO',None
81020292,AAPL,2017-04-24T20:59:41Z,b'$TWTR short squeeze coming - IMO',None
81020260,AAPL,2017-04-24T20:59:29Z,b'$TWTR short squeeze coming - IMO',None
81020255,AAPL,2017-04-24T20:59:27Z,b'$TWTR short squeeze coming - IMO',None
81019966,AAPL,2017-04-24T20:56:03Z,b'$TWTR short squeeze coming - IMO',None
81019371,AAPL,2017-04-24T20:50:19Z,b'$TWTR short squeeze coming - IMO',None
81019144,AAPL,2017-04-24T20:48:17Z,b'$TWTR short squeeze coming - IMO',None
81019079,AAPL,2017-04-24T20:47:24Z,b'$TWTR short squeeze coming - IMO',None
81018204,AAPL,2017-04-24T20:39:31Z,b'$TWTR short squeeze coming - IMO',None
81016600,AAPL,2017-04-24T20:26:55Z,b'$TWTR short squeeze coming - IMO',None
81016529,AAPL,2017-04-24T20:26:23Z,b'$TWTR short squeeze coming - IMO',None
81016527,AAPL,2017-04-24T20:26:23Z,b'$TWTR short squeeze coming - IMO',Bearish
81016354,AAPL,2017-04-24T20:25:10Z,b'$TWTR short squeeze coming - IMO',None
81016236,AAPL,2017-04-24T20:24:25Z,b'$TWTR short squeeze coming - IMO',None
81015842,AAPL,2017-04-24T20:21:40Z,b'$TWTR short squeeze coming - IMO',None
81015742,AAPL,2017-04-24T20:20:58Z,b'$TWTR short squeeze coming - IMO',Bullish
81015389,AAPL,2017-04-24T20:18:39Z,b'$TWTR short squeeze coming - IMO',None
81015301,AAPL,2017-04-24T20:17:59Z,b'$TWTR short squeeze coming - IMO',Bullish
81015244,AAPL,2017-04-24T20:17:41Z,b'$TWTR short squeeze coming - IMO',Bullish
81014923,AAPL,2017-04-24T20:15:44Z,b'$TWTR short squeeze coming - IMO',Bullish
81014722,AAPL,2017-04-24T20:14:23Z,b'$TWTR short squeeze coming - IMO',Bullish
81014593,AAPL,2017-04-24T20:13:35Z,b'$TWTR short squeeze coming - IMO',None
81014387,AAPL,2017-04-24T20:12:17Z,b'$TWTR short squeeze coming - IMO',Bullish
81014342,AAPL,2017-04-24T20:11:53Z,b'$TWTR short squeeze coming - IMO',None
81014110,AAPL,2017-04-24T20:10:16Z,b'$TWTR short squeeze coming - IMO',Bullish
81014097,AAPL,2017-04-24T20:10:13Z,b'$TWTR short squeeze coming - IMO',None
81013986,AAPL,2017-04-24T20:09:31Z,b'$TWTR short squeeze coming - IMO',None
81013694,AAPL,2017-04-24T20:07:45Z,b'$TWTR short squeeze coming - IMO',Bullish
81013389,AAPL,2017-04-24T20:06:04Z,b'$TWTR short squeeze coming - IMO',None
81013381,AAPL,2017-04-24T20:05:58Z,b'$TWTR short squeeze coming - IMO',Bullish
81013254,AAPL,2017-04-24T20:05:11Z,b'$TWTR short squeeze coming - IMO',Bullish
81013179,AAPL,2017-04-24T20:04:49Z,b'$TWTR short squeeze coming - IMO',None
81013053,AAPL,2017-04-24T20:04:11Z,b'$TWTR short squeeze coming - IMO',None
