ID,Symbol,Date,CreateTime,Body,Sentiment
81873595,TWTR,2017-05-03,2017-05-03T03:09:31Z,b'$TWTR Gaps are nearly always filled. Talk like a media company# should be a media company# act like and try to remain a tech company.',Bearish
81873263,TWTR,2017-05-03,2017-05-03T03:02:53Z,b'$TWTR on 3/29 I made this call.  Now we are transitioned from depression to HOPE.',Bullish
81872862,TWTR,2017-05-03,2017-05-03T02:54:17Z,b'$TWTR added 1k watchers since last Tuesday. Great sign of bullish. Buy and hold.',Bullish
81872754,TWTR,2017-05-03,2017-05-03T02:51:52Z,b'$TWTR I don&#39;t play around.',None
81872743,TWTR,2017-05-03,2017-05-03T02:51:42Z,b'@Kenny1970 I do know that Cuban was referring to a recent acq. by $TWTR &amp; how they are using it to put relevant content in front of users',None
81872356,TWTR,2017-05-03,2017-05-03T02:43:36Z,b'$TWTR Those that considered a BO last year and pulled out are seeing the momentum change and live deals. An offer can come from left field.',Bullish
81871607,TWTR,2017-05-03,2017-05-03T02:30:01Z,b'$TWTR stock keeps growing# Jack&#39;s team is doing a great job so far http://bit.ly/2oUCJ8b',None
81871363,TWTR,2017-05-03,2017-05-03T02:25:42Z,b'$TWTR finally its going up not because of a buy out rumor',None
81871043,TWTR,2017-05-03,2017-05-03T02:20:51Z,b'$TWTR - shorts on fire',None
81870972,TWTR,2017-05-03,2017-05-03T02:19:49Z,b'$TWTR these shorts never give up do they; shorts should be worried; this thing is going to 30 before the end of the year; bank on it!!!!',Bullish
81870837,TWTR,2017-05-03,2017-05-03T02:17:21Z,b'$TWTR down big tomorrow thanks to Apple. Good luck longs# you&#39;re going to need it.',Bearish
81870420,TWTR,2017-05-03,2017-05-03T02:09:43Z,b'$TWTR once we see $20 printed on this stock the gap to $30 will be closed real fast',Bullish
81870013,TWTR,2017-05-03,2017-05-03T02:02:32Z,b'$TWTR fucking eh!  Finally.  Screw you shorts',None
81869859,TWTR,2017-05-03,2017-05-03T02:00:07Z,b'$aapl $amzn $fb $twtr $goog $csco $orcl $txn $fnsr $nvda',Bearish
81868099,TWTR,2017-05-03,2017-05-03T01:34:33Z,b'9 stocks to watch $COG# $ITUB# $JBLU# $PBI# $SABR# $SQ# $STAY# $STM# $TWTR http://stock-screener.org/technical-analysis/stocks-to-watch-8/',Bullish
81867589,TWTR,2017-05-03,2017-05-03T01:27:28Z,b'$TWTR What was Cuban referring to about Artificial Intelligence being worked on by Twitter? I haven&#39;t seen anything in that area on Twitter.',None
81867578,TWTR,2017-05-03,2017-05-03T01:27:24Z,b'$TWTR The wonderful secret to trading options right before earnings  http://bit.ly/TWTR_pree',None
81867300,TWTR,2017-05-03,2017-05-03T01:23:45Z,b'$TWTR out of 39 total ratings on the street 2 are &#39;outperform&#39; and 2 are &#39;buy&#39;...hopefully we get some upgrades &amp; higher price targets soon',Bullish
81866680,TWTR,2017-05-03,2017-05-03T01:15:31Z,b'$TWTR seems to be headed to 20.',None
81865474,TWTR,2017-05-03,2017-05-03T01:00:38Z,b'$TWTR that is my average',None
81865226,TWTR,2017-05-03,2017-05-03T00:57:11Z,b'$TWTR Mark Cuban should really pull his profit and put it somewhere else. I&#39;d recommend Microsoft. Don&#39;t pull a momma# I remembered this.',None
81865019,TWTR,2017-05-03,2017-05-03T00:54:23Z,b'$TWTR Cuban is in I&#39;m in',Bullish
81864962,TWTR,2017-05-03,2017-05-03T00:53:41Z,b'Time to get some $TWTR',None
81864461,TWTR,2017-05-03,2017-05-03T00:47:18Z,b'Most Active Options $AAPL $AMD $BAC $FB $TWTR $INTC $MSFT $NVDA $GILD $BABA $F $TSLA',None
81864227,TWTR,2017-05-03,2017-05-03T00:44:16Z,b'$PTX $TWTR $ONTX no bull. \n\n#Timestamp LT',Bullish
81863152,TWTR,2017-05-03,2017-05-03T00:29:17Z,b'$TWTR 3 Keys To #Twitter&#39;s Turnaround http://www.talkmarkets.com/content/stocks--equities/3-keys-to-twitters-turnaround?post=133596 $FB',None
81862728,TWTR,2017-05-03,2017-05-03T00:24:09Z,b'Not the best day for my portfolio overall# but $FSLR and $TWTR had awesome days!???',None
81862126,TWTR,2017-05-03,2017-05-03T00:16:25Z,b'@ph00321 $TWTR yawn. Likely filed by angry investors when it was in the 14&#39;s. Wouldn&#39;t do much then &amp; def won&#39;t do much now that price is up',None
81860929,TWTR,2017-05-03,2017-05-03T00:02:19Z,b'$TWTR 25 dollars coming',Bullish
81860751,TWTR,2017-05-03,2017-05-03T00:00:01Z,b'$twtr better Ask Saul',None
81860750,TWTR,2017-05-02,2017-05-02T23:59:59Z,b'$TWTR $GPRO $TWLO It&#39;s a 4 step program....',None
81860271,TWTR,2017-05-02,2017-05-02T23:53:41Z,b'$TWTR lawsuit must be by shorts in the hope they can cover tomorrow!',Bullish
81860087,TWTR,2017-05-02,2017-05-02T23:51:25Z,b'$TWTR RSI hitting 83 &amp; 19.50-85 previously established R area. Well if it can&#39;t get over it# I&#39;d say it has peaked &amp; ripe for harvesting.',Bearish
81860079,TWTR,2017-05-02,2017-05-02T23:51:15Z,b'$TWTR look at how many people thought I was crazy',None
81859969,TWTR,2017-05-02,2017-05-02T23:49:52Z,b'$TWTR maybe the events were timed too perfectly...',None
81859900,TWTR,2017-05-02,2017-05-02T23:49:01Z,b'$TWTR http://www.marketwatch.com/story/twitter-says-its-facing-class-action-securities-lawsuits-in-california-2017-05-02?siteid=yhoof2&amp;yptr=yahoo',None
