Date,Aggregate Daily Score Weighted
3/3/2017,0.028860918
3/4/2017,0.119373209
3/5/2017,0.116323558
3/6/2017,0.552332636
3/7/2017,0.541374519
3/8/2017,0.559247954
3/9/2017,0.722455233
3/10/2017,0.756352423
3/11/2017,0.182542542
3/12/2017,0.141122613
3/13/2017,0.333720533
3/14/2017,0.341236969
3/15/2017,0.585980953
3/16/2017,0.539828519
3/17/2017,0.436844412
3/18/2017,0.120391535
3/19/2017,0.076859922
3/20/2017,0.406130656
3/21/2017,0.899103189
3/22/2017,0.606895005
3/23/2017,0.401074778
3/24/2017,0.436689552
3/25/2017,0.139994437
3/26/2017,0.161324312
3/27/2017,0.48850297
3/28/2017,0.834000204
3/29/2017,0.816998025
3/30/2017,0.479137032
3/31/2017,0.365214935
4/1/2017,0.140181322
4/2/2017,0.12163016
4/3/2017,0.413262997
4/4/2017,0.432424075
4/5/2017,0.547031528
4/6/2017,0.436561444
4/7/2017,0.369533811
4/8/2017,0.09948155
4/9/2017,0.067525306
4/10/2017,0.370355547
4/11/2017,0.417781861
4/12/2017,0.404356788
4/13/2017,0.381214029
4/14/2017,0.136644903
4/15/2017,0.08322888
4/16/2017,0.141267659
4/17/2017,0.430843112
4/18/2017,0.658506754
4/19/2017,0.841563124
4/20/2017,0.718060633
4/21/2017,0.387157206
4/22/2017,0.144489568
4/23/2017,0.155236824
4/24/2017,0.597638772
4/25/2017,0.560714048
4/26/2017,0.496519686
4/27/2017,0.764920258
4/28/2017,1.122294321
4/29/2017,0.190924202
4/30/2017,0.160978525
5/1/2017,0.852911192
5/2/2017,0.048533365
