Date,Aggregate Daily Score Weighted
3/1/2017,0.018651021
3/2/2017,0.769861619
3/3/2017,0.596226077
3/4/2017,0.142255948
3/5/2017,0.108502302
3/6/2017,0.593268379
3/7/2017,0.505546977
3/8/2017,0.501074569
3/9/2017,0.461139282
3/10/2017,0.424763906
3/11/2017,0.075913939
3/12/2017,0.073465893
3/13/2017,0.37077146
3/14/2017,0.297126399
3/15/2017,0.674595722
3/16/2017,0.388793836
3/17/2017,0.541575392
3/18/2017,0.130059479
3/19/2017,0.087246544
3/20/2017,0.484259235
3/21/2017,0.999580184
3/22/2017,0.605986416
3/23/2017,0.545625098
3/24/2017,0.636737496
3/25/2017,0.15520672
3/26/2017,0.132927108
3/27/2017,0.607849096
3/28/2017,1.224360759
3/29/2017,0.850262203
3/30/2017,0.592545472
3/31/2017,0.571001284
4/1/2017,0.098586944
4/2/2017,0.093080202
4/3/2017,0.499826256
4/4/2017,0.710739661
4/5/2017,0.795091111
4/6/2017,0.497009334
4/7/2017,0.407579705
4/8/2017,0.117144187
4/9/2017,0.077341921
4/10/2017,0.427348825
4/11/2017,0.695280703
4/12/2017,0.425625592
4/13/2017,0.451576005
4/14/2017,0.176522827
4/15/2017,0.097972146
4/16/2017,0.087253665
4/17/2017,0.515254216
4/18/2017,0.429472628
4/19/2017,0.501872552
4/20/2017,0.637893075
4/21/2017,0.593261409
4/22/2017,0.091108797
4/23/2017,0.128322395
4/24/2017,0.473315573
4/25/2017,0.591041247
4/26/2017,0.778409801
4/27/2017,0.524805015
4/28/2017,0.644704388
4/29/2017,0.124280721
4/30/2017,0.091409634
